timestamp,cloud_cost,incident_count,deployment_count,active_users
2025-01-01,524.8357076505616,0,9,5159.982595572582
2025-01-02,493.36113336393737,1,16,4297.900041855898
2025-01-03,532.9331237500278,2,13,4781.819020604554
2025-01-04,576.974538087891,2,9,5059.5584177516575
2025-01-05,489.3897249538195,0,8,5857.78301509862
2025-01-06,489.66489426502386,1,16,4452.80248143298
2025-01-07,580.606731310349,4,13,5496.25081235287
2025-01-08,540.2921754151214,3,11,5709.345408273552
2025-01-09,478.72106808322496,0,6,4696.646784362578
2025-01-10,529.5971379817674,1,4,4873.588869582229
2025-01-11,479.5725995843426,0,13,4495.562797437943
2025-01-12,479.73134496894943,2,5,4913.358592697159
2025-01-13,515.3902946482605,1,8,4998.165918178329
2025-01-14,407.9025172595655,2,10,5347.657646503462
2025-01-15,417.5949862893003,4,9,5564.296125084984
2025-01-16,476.0008498753999,0,13,4646.52809937642
2025-01-17,453.7480187432239,2,17,4038.285341686728
2025-01-18,520.3762898122054,2,8,5012.697226274087
2025-01-19,459.5370678288777,1,16,5171.460123009011
2025-01-20,434.5974349606703,0,5,5150.771943979695
2025-01-21,578.7694068960091,3,10,4864.0982184951345
2025-01-22,494.4725018481012,3,7,5091.182634194107
2025-01-23,509.4120755293208,2,9,5787.9007306507465
2025-01-24,435.0726044067482,0,6,5222.417153068361
2025-01-25,479.36522591365855,1,7,4846.237598198047
2025-01-26,512.4048400479076,2,6,4784.194644264074
2025-01-27,449.5833801137957,5,12,4950.739116085689
2025-01-28,526.192308324691,2,10,5855.407017952358
2025-01-29,477.6498213339637,3,5,4946.758424386422
2025-01-30,493.3714167627367,2,7,5029.883349001649
2025-01-31,478.14512206342727,2,5,4799.995477906334
2025-02-01,601.1187103228406,5,10,5592.0156842079505
2025-02-02,508.1042882829936,4,7,6023.814374971788
2025-02-03,456.1679514945919,2,9,5270.574014427628
2025-02-04,550.4550919700429,0,11,5088.02568371713
2025-02-05,448.5600122888289,3,9,5066.402390524017
2025-02-06,520.3197229601143,2,10,3857.22932165651
2025-02-07,412.1673854383843,3,12,5423.329890304274
2025-02-08,444.01593760994814,1,10,5119.209408272271
2025-02-09,520.5426502708224,1,14,5267.668967717194
2025-02-10,547.8972658996333,5,10,4699.138587457462
2025-02-11,519.8166993818579,3,11,4864.012987123251
2025-02-12,505.740219625444,4,8,4852.1007004726935
2025-02-13,496.74179738788814,2,12,5569.796402873282
2025-02-14,438.1452310714777,1,9,4870.976734647699
2025-02-15,476.3534685926102,1,7,6103.058556116627
2025-02-16,489.58808888685286,0,9,5278.53134668173
2025-02-17,565.7504871682846,0,13,4426.630549288829
2025-02-18,530.3496387582585,3,10,5001.570474773199
2025-02-19,425.2910649341953,3,11,4741.377802433452
2025-02-20,529.9216195945683,4,7,3971.3958707141305
2025-02-21,494.7376555265092,2,12,5869.69431779352
2025-02-22,480.4200179545237,4,14,5422.90186095911
2025-02-23,545.1242808343616,1,8,5339.305990911247
2025-02-24,566.3647909396124,2,9,5156.775904223926
2025-02-25,561.6531691931212,0,10,4384.437031840338
2025-02-26,473.402635498676,5,9,4835.008988521321
2025-02-27,500.1772412897438,2,15,5499.079687803529
2025-02-28,532.4753800749793,2,9,4553.951027632755
2025-03-01,564.9638132834157,3,19,3815.048126511082
2025-03-02,492.50219345752976,2,11,4968.751522858508
2025-03-03,507.4523049391,6,9,5012.797491847685
2025-03-04,461.692853494486,2,11,5152.829719181291
2025-03-05,457.4736194132504,2,7,5450.679074843688
2025-03-06,558.1845901594904,2,9,5406.594401314506
2025-03-07,585.6446488908183,3,9,5218.548139933346
2025-03-08,514.506489805757,3,12,5688.300673467223
2025-03-09,568.5579892018714,3,12,4332.421831129694
2025-03-10,536.7374939821485,6,7,5345.56937088753
2025-03-11,486.67405342200715,1,10,5407.919387429788
2025-03-12,537.2741698501807,2,10,4476.24080483368
2025-03-13,596.380566320555,1,13,4345.958385645088
2025-03-14,517.9617844642555,2,13,4725.794368860965
2025-03-15,598.25961763295,3,6,4769.366452953602
2025-03-16,389.314528060259,3,11,5478.218648074946
2025-03-17,561.6712569060039,2,6,4795.611266590666
2025-03-18,525.2028335216479,1,11,4676.078141408095
2025-03-19,506.17446100894256,4,15,4799.8072743139
